"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Antigua and Barbuda","ATG","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24861.3711478501","","","",
"Australia","AUS","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31034.0242453764","30232.7617736183","30067.9108607306","30940.4684467484","31713.566413027","32572.6355256383","33593.0082831863","34801.9339637786","36102.6015380431","37167.5846084092","38574.8290689668","39021.4350935103","40276.8951465971","41126.0601416756","42975.0047199013","44113.0717190193","45506.7339500695","46748.9408581346","48188.8294559638","49093.1218559342","48798.7290733263","51174.0620880164","52844.0799940353","52470.3007681927","52556.3381490029","52034.219739891","51370.8671920554","52948.3906137247","53652.415299164","54594.6286030839","54592.6645409699","57529.6963400824","59064.9050230303","59296.2822722265","58522.8987735291",
"Austria","AUT","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48573.3846121742","49541.6929062981","50310.256263132","51890.1155110458","53053.0985933665","54797.2412568616","54978.5591198151","56122.7666519773","56608.4351108491","57747.1990672053","58446.5404093176","60338.6528227365","62081.0034568903","63007.155813347","60426.310879401","61324.0105997233","61997.2043659294","61714.5956572384","61301.5410193135","61364.0651145224","61186.9922856034","62662.0815224891","62624.8388742324","63617.1665893134","64609.7644351167","61352.8733058628","64007.5433360827","63953.7154899569","62305.6383565027","",
"Azerbaijan","AZE","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19693.9063534123","","","",
"Burundi","BDI","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","826.672429135814","821.78839851655","806.355113387416","806.444882996575","777.498313380262","786.31144799065","747.248136122409","756.828035953674","777.040726103982","803.596260307611","803.371977729929","814.143142243831","793.722046807468","812.940944338621","794.767607494335","809.62052529894","830.498374612847","832.247788597624","906.144854144517","852.104600994696","848.142834626496","834.39572385913","839.415176545618","846.440325261394","839.11202248885","849.039050030134","851.962370060218","",
"Belgium","BEL","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47766.3476177812","48117.0652016587","49779.6636920881","50762.1447510874","52066.6548177797","53411.5322002992","53453.8344102722","54201.5454847382","54428.9113111559","55531.5764806444","56184.9260126071","57047.7114735883","58761.4643923618","57943.8621220428","57278.2998969579","57317.6884738662","56265.3525486307","57196.0896154366","57283.6102832945","57908.822699101","58578.6863179837","59093.2005967787","59539.6803947801","60067.3623524606","61461.8579271185","58481.2647775764","61448.5246577079","61406.6684108061","62352.5605666743","",
"Benin","BEN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2077.92845862002","2111.51045641863","2058.35162645592","2104.21684855162","2036.52594976672","2121.79850553317","2231.76078792666","2296.8821016023","2307.42577520893","2313.42397062567","2415.39706672898","2453.65114139888","2514.9504489449","2538.74590770052","2614.01851276087","2533.55567432064","2546.91217450489","2599.69562804147","2664.17251245949","2663.23120847779","2639.69459092182","2667.00115385919","2711.01725078876","2850.6397694023","2927.74210439146","2917.28258086422","2966.63211822544","3018.50122179338","3116.90552568519","3277.08801761847","3287.45815142963","3427.21137670351","3529.45354312172","3633.38606646092","3822.67948629058",
"Burkina Faso","BFA","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1109.07672023577","1165.75721789999","1138.88573837597","1140.05966910424","1055.55768584359","1096.58344161966","1188.05081709223","1226.75786180539","1290.51635004666","1283.83167371608","1259.24419528392","1311.35265194094","1328.78675634314","1388.19386130903","1409.23435490586","1472.8436459415","1515.99736880465","1527.97940037835","1567.45695546459","1559.25229925831","1655.09524870837","1742.10199897746","1859.79190013196","1856.139748706","1845.1106474695","1872.55134066004","1966.44052139527","2051.37621412956","2152.00456946758","2262.12851044341","2323.62492093973","2369.87723376336","2358.37874116037","2351.10182028901","2569.09345817925",
"Bangladesh","BGD","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016.76024268601","2074.55929551803","2151.63664681156","2235.01611126687","2282.01043008457","2344.49971582777","2404.07503208043","2497.57196843123","2594.05304794543","2654.38331892402","2754.65388180209","2824.23592462192","2935.60276448794","3030.2187707386","3234.60437511911","3411.88604390575","3644.90174774326","3902.98666149322","4025.53472723748","4210.41081277442","4421.69101771393","4620.61562254022","4886.16159755069","5116.5415910129","5314.23712366499","5597.20664579991","5948.19931535774","6212.77262022513","6646.6393233975","7118.90208410089","7305.28566080677","7832.73091628663","8201.44321740187","8571.75001839009","8854.72230612135",
"Bulgaria","BGR","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12642.7834423826","11926.9257960729","9377.42147934135","10690.087816305","10143.3227791817","11021.8166725264","11923.928260452","13176.9492924659","13977.8131129819","14818.8041071568","15644.3408175669","16515.8622227084","16818.7818750912","18502.2669609876","19246.0884663458","19932.0757766802","20593.673429328","20839.4150192199","20897.705629677","21660.2167502673","22392.9586280337","23799.9095046552","24991.250817878","25786.9051216269","27681.1797586532","27677.7427955356","29737.4163602061","30722.4614179293","31474.4759246632","32274.6230621858",
